BGRI2021,N_INDIVIDUOS,supply_departures,dep_per_1000_pop,pop_per_departure,underservice_score
06034000320,110.0,90.0,818.1818181818182,1.2222222222222223,1.2087912087912087
06033800718,163.0,134.0,822.0858895705521,1.2164179104477613,1.2074074074074075
06033900308,84.0,69.0,821.4285714285714,1.2173913043478262,1.2
06033800109,87.0,72.0,827.5862068965517,1.2083333333333333,1.1917808219178083
06033800404,255.0,218.0,854.9019607843137,1.1697247706422018,1.1643835616438356
06031100110,71.0,60.0,845.0704225352113,1.1833333333333333,1.1639344262295082
06033600407,36.0,30.0,833.3333333333334,1.2,1.1612903225806452
06031800704,229.0,197.0,860.2620087336245,1.1624365482233503,1.1565656565656566
06033200110,32.0,27.0,843.75,1.1851851851851851,1.1428571428571428
06032900221,8.0,6.0,750.0,1.3333333333333333,1.1428571428571428
06032900205,49.0,42.0,857.1428571428571,1.1666666666666667,1.1395348837209303
06030100102,33.0,28.0,848.4848484848485,1.1785714285714286,1.1379310344827587
06033300422,55.0,48.0,872.7272727272726,1.1458333333333333,1.1224489795918366
06031200205,28.0,24.0,857.1428571428571,1.1666666666666667,1.12
06033300110,226.0,201.0,889.3805309734514,1.1243781094527363,1.118811881188119
06033900250,57.0,50.0,877.1929824561403,1.14,1.1176470588235294
06030100110,48.0,42.0,875.0,1.1428571428571428,1.1162790697674418
06033500303,670.0,600.0,895.5223880597015,1.1166666666666667,1.1148086522462561
06030100214,41.0,36.0,878.0487804878048,1.1388888888888888,1.1081081081081081
